img_id,classname,gt_index,has_pred_bbox
0,4,0,True
0,4,1,True
0,4,2,False
0,4,3,True
0,9,4,False
0,9,5,False
0,9,6,True
0,2,7,True
0,17,8,True
0,8,9,True
0,3,10,True
0,3,11,True
0,7,12,True
1,4,0,True
1,4,1,True
1,4,2,True
1,4,3,True
1,3,4,False
1,7,5,True
1,7,6,True
1,9,7,True
1,8,8,True
1,8,9,True
1,8,10,False
1,8,11,True
1,17,12,False
1,17,13,False
1,17,14,False
2,14,0,True
2,3,1,True
2,3,2,True
2,3,3,True
2,3,4,True
2,3,5,True
2,8,6,True
2,8,7,True
2,8,8,True
2,8,9,False
2,11,10,True
2,1,11,True
2,9,12,False
2,9,13,False
2,9,14,False
2,9,15,True
2,4,16,True
2,4,17,False
2,17,18,True
2,17,19,True
2,7,20,True
2,13,21,False
2,13,22,False
2,16,23,False
2,5,24,True
2,5,25,False
2,15,26,True
2,12,27,False
2,0,28,True
3,10,0,False
3,4,1,True
3,0,2,True
3,1,3,True
3,9,4,True
3,9,5,False
3,7,6,True
3,15,7,True
3,8,8,True
3,8,9,True
3,8,10,True
3,16,11,False
3,13,12,False
3,12,13,True
3,6,14,True
4,17,0,True
4,17,1,False
4,3,2,False
4,4,3,True
4,4,4,True
4,4,5,True
4,4,6,True
4,7,7,True
4,7,8,True
4,2,9,True
4,10,10,False
5,0,0,True
5,3,1,True
5,13,2,False
5,16,3,True
5,8,4,True
5,8,5,False
5,8,6,True
5,17,7,False
5,9,8,False
6,17,0,False
6,11,1,True
6,3,2,True
6,3,3,True
6,3,4,False
6,3,5,True
6,3,6,False
6,3,7,False
6,3,8,False
6,3,9,True
6,3,10,False
6,3,11,False
6,3,12,False
6,13,13,False
6,10,14,False
6,5,15,True
7,9,0,True
7,16,1,True
7,13,2,True
7,8,3,True
8,4,0,True
8,4,1,True
8,4,2,True
8,4,3,False
8,4,4,True
8,4,5,True
8,4,6,True
8,4,7,False
8,4,8,True
8,4,9,True
8,4,10,False
8,4,11,False
8,4,12,True
8,4,13,True
8,4,14,False
8,4,15,True
8,4,16,False
8,4,17,False
8,4,18,True
8,8,19,True
8,8,20,True
8,15,21,True
8,13,22,False
9,14,0,True
9,14,1,True
9,4,2,True
9,4,3,True
9,4,4,False
9,4,5,True
9,4,6,True
9,15,7,True
9,7,8,True
9,3,9,False
9,3,10,True
9,3,11,True
9,3,12,False
9,3,13,False
9,3,14,True
9,3,15,False
9,3,16,False
9,3,17,False
9,3,18,True
9,17,19,False
9,17,20,False
9,17,21,False
9,17,22,False
9,8,23,False
9,8,24,False
9,10,25,False
9,10,26,False
9,9,27,True
9,9,28,False
9,5,29,False
9,13,30,False
9,13,31,False
9,11,32,True
10,8,0,True
10,7,1,True
10,7,2,True
10,17,3,True
10,4,4,True
10,4,5,True
10,4,6,True
10,3,7,True
10,3,8,True
10,3,9,False
10,9,10,False
10,9,11,True
10,10,12,False
11,15,0,True
11,15,1,True
11,4,2,True
11,4,3,True
11,4,4,True
11,4,5,True
11,4,6,True
11,4,7,True
11,4,8,True
11,4,9,True
11,4,10,True
11,4,11,False
11,4,12,False
11,4,13,False
11,4,14,False
11,4,15,True
11,4,16,False
11,4,17,False
11,4,18,True
11,4,19,False
11,4,20,True
11,4,21,True
11,4,22,True
11,4,23,True
11,4,24,False
11,4,25,True
11,4,26,False
11,4,27,True
11,4,28,True
11,4,29,True
11,4,30,True
11,4,31,False
11,4,32,False
11,9,33,True
11,9,34,False
11,3,35,False
11,3,36,False
11,17,37,True
11,17,38,False
11,17,39,False
11,17,40,True
11,17,41,True
12,6,0,True
12,15,1,True
12,17,2,False
12,3,3,True
12,3,4,False
12,8,5,False
12,8,6,True
12,8,7,True
12,8,8,True
13,15,0,True
13,4,1,True
13,4,2,True
13,4,3,True
13,4,4,True
13,4,5,True
13,4,6,True
13,4,7,True
13,4,8,True
13,4,9,True
13,4,10,True
13,4,11,True
13,17,12,False
14,17,0,True
14,7,1,True
14,3,2,False
14,3,3,False
14,8,4,True
14,1,5,True
14,4,6,True
14,9,7,True
15,4,0,True
15,4,1,False
15,4,2,True
15,4,3,False
15,15,4,True
15,3,5,True
15,3,6,False
15,11,7,False
15,13,8,False
15,13,9,False
15,5,10,True
16,4,0,True
16,4,1,True
